OFNS_DESC,Latitude,Longitude
INTOXICATED & IMPAIRED DRIVING,40.643933376,-74.098382098
HARRASSMENT 2,40.551093439,-74.144862915
CRIMINAL MISCHIEF & RELATED OF,40.639671328,-74.115440545
FRAUDS,40.630146423,-74.123818316
CRIMINAL MISCHIEF & RELATED OF,40.627144766,-74.15663531199999
PETIT LARCENY,40.626858064000004,-74.163443377
ASSAULT 3 & RELATED OFFENSES,40.632173139,-74.141904487
OFF. AGNST PUB ORD SENSBLTY &,40.619922255,-74.13580525
ASSAULT 3 & RELATED OFFENSES,40.540596387,-74.176839496
DANGEROUS WEAPONS,40.644752079,-74.087241382
HARRASSMENT 2,40.62814843,-74.126145475
ASSAULT 3 & RELATED OFFENSES,40.575495801,-74.10629069699999
ASSAULT 3 & RELATED OFFENSES,40.629000368,-74.146120013
BURGLARY,40.626845017,-74.10682278899999
GRAND LARCENY OF MOTOR VEHICLE,40.640281555,-74.134808956
PETIT LARCENY,40.582301992,-74.168936095
PETIT LARCENY,40.630539825,-74.106479241
CRIMINAL MISCHIEF & RELATED OF,40.626179658000005,-74.13408879800001
FRAUDS,40.504866269000004,-74.248372493
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",40.589200294,-74.162814737
ASSAULT 3 & RELATED OFFENSES,40.63750259,-74.084237746
DANGEROUS DRUGS,40.611980812,-74.105084593
INTOXICATED & IMPAIRED DRIVING,40.620396907,-74.08443589
CRIMINAL MISCHIEF & RELATED OF,40.613127915999996,-74.121982266
PETIT LARCENY,40.632654822,-74.138551288
HARRASSMENT 2,40.589048171,-74.095464073
HARRASSMENT 2,40.542680981,-74.144546048
GRAND LARCENY OF MOTOR VEHICLE,40.607899257,-74.07330591899999
OFF. AGNST PUB ORD SENSBLTY &,40.635542115999996,-74.16945999800001
PETIT LARCENY,40.575803739,-74.169812399
CRIMINAL MISCHIEF & RELATED OF,40.503594225,-74.24120838399999
PETIT LARCENY,40.560329033,-74.163770066
HARRASSMENT 2,40.590310081999995,-74.0963012
GRAND LARCENY,40.613687574000004,-74.078167489
